date,CO,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona
2024-07-03 03:00:00,0.19,1.8,4.6,11.0,6.4,44.0,1.9,7.6,111.0,NORTE
2024-07-03 03:00:00,0.62,,2.2,7.92,4.2,47.0,1.6,12.9,106.0,SURESTE
2024-07-03 04:00:00,0.35,,3.6,16.76,5.6,51.0,2.4,5.8,41.0,CENTRO
2024-07-03 04:00:00,0.21,2.5,6.1,12.0,8.6,53.0,2.1,6.5,108.0,NORTE
2024-07-03 04:00:00,0.61,,2.0,7.96,4.1,43.0,1.7,12.2,97.0,SURESTE
2024-07-03 05:00:00,0.38,,3.2,16.91,5.2,50.0,2.4,6.0,33.0,CENTRO
2024-07-03 05:00:00,0.26,4.6,7.5,14.0,12.1,60.0,2.2,6.0,90.0,NORTE
2024-07-03 05:00:00,0.62,,2.4,8.01,4.4,37.0,1.6,10.1,110.0,SURESTE
2024-07-03 06:00:00,0.36,8.3,11.0,16.61,19.6,57.0,2.3,5.3,38.0,CENTRO
2024-07-03 06:00:00,0.32,7.4,8.0,16.0,15.4,56.0,2.3,5.7,79.0,NORTE
2024-07-03 06:00:00,0.64,2.2,4.1,8.01,6.3,40.0,1.6,8.5,86.0,SURESTE
2024-07-03 07:00:00,0.45,11.6,12.3,21.66,24.2,69.0,2.4,2.8,50.0,CENTRO
2024-07-03 07:00:00,0.38,8.6,8.8,18.0,17.4,72.0,2.3,5.4,85.0,NORTE
2024-07-03 07:00:00,0.74,7.0,9.6,8.34,16.5,46.0,1.7,6.5,73.0,SURESTE
2024-07-03 08:00:00,0.56,17.7,12.7,36.28,30.7,70.0,2.4,3.9,43.0,CENTRO
2024-07-03 08:00:00,0.35,7.7,9.0,21.0,16.7,87.0,2.1,4.4,102.0,NORTE
2024-07-03 08:00:00,0.8,11.1,10.0,8.34,21.0,54.0,1.8,5.0,59.0,SURESTE
2024-07-03 09:00:00,0.7,18.9,13.7,42.21,32.9,73.0,2.4,6.8,43.0,CENTRO
2024-07-03 09:00:00,0.38,5.7,8.4,20.0,14.1,82.0,2.0,5.5,136.0,NORTE
2024-07-03 09:00:00,0.85,11.4,11.6,8.63,22.9,57.0,1.8,7.5,74.0,SURESTE
2024-07-03 10:00:00,0.72,19.6,17.9,43.66,37.8,85.0,2.6,8.8,46.0,CENTRO
2024-07-03 10:00:00,0.36,3.6,8.0,19.0,11.6,66.0,1.8,5.6,128.0,NORTE
2024-07-03 10:00:00,0.87,10.0,12.8,8.63,22.7,63.0,1.9,8.7,97.0,SURESTE
2024-07-03 11:00:00,0.69,12.9,17.9,,31.0,97.0,2.4,11.0,59.0,CENTRO
2024-07-03 11:00:00,0.33,3.1,8.5,20.0,11.6,72.0,2.4,6.2,100.0,NORTE
2024-07-03 11:00:00,0.84,6.9,12.7,15.65,19.4,65.0,1.9,10.6,80.0,SURESTE
2024-07-03 12:00:00,0.6,8.3,17.1,38.09,25.7,87.0,2.4,10.1,47.0,CENTRO
2024-07-03 12:00:00,0.31,2.2,7.5,22.0,9.7,63.0,3.4,6.9,98.0,NORTE
2024-07-03 12:00:00,0.84,3.8,9.7,15.64,13.4,72.0,2.1,12.3,76.0,SURESTE
2024-07-03 13:00:00,0.56,4.5,14.8,38.35,19.5,92.0,2.4,10.4,34.0,CENTRO
2024-07-03 13:00:00,0.26,2.5,5.1,13.0,7.5,59.0,3.3,11.7,123.0,NORTE
2024-07-03 13:00:00,0.78,2.7,9.1,15.63,11.7,72.0,2.7,11.4,77.0,SURESTE
2024-07-03 14:00:00,0.54,2.8,11.0,37.17,14.0,88.0,2.4,12.2,54.0,CENTRO
2024-07-03 14:00:00,0.25,2.6,3.8,9.0,6.4,49.0,2.7,13.2,131.0,NORTE
2024-07-03 14:00:00,0.77,2.9,6.4,15.56,9.2,65.0,2.5,16.5,90.0,SURESTE
2024-07-03 15:00:00,0.45,2.7,6.4,26.78,9.3,66.0,2.4,13.4,80.0,CENTRO
2024-07-03 15:00:00,0.25,2.6,3.6,7.0,6.2,41.0,2.6,13.4,140.0,NORTE
2024-07-03 15:00:00,0.74,3.4,5.1,18.66,8.5,55.0,2.3,17.2,112.0,SURESTE
2024-07-03 16:00:00,0.41,2.8,5.2,17.0,8.2,48.0,2.3,13.3,102.0,CENTRO
2024-07-03 16:00:00,0.22,2.7,3.8,7.0,6.4,25.0,2.6,14.1,138.0,NORTE
