date_only,Hora,Zona,CO,NOX,O3,PM2.5,PM10,WSR,WDR,date,hour,influence_plume_sum,influence_plume_log1p_sum,Q_hat_mean,u_mean,wind_cov,influence_plume_z
2024-08-01,19,SURESTE,0.7,8.7,29.0,24.75,88.0,18.3,130.0,2024-08-01,19,1108.2245116079196,916.9957639770691,8.555859173579563,18.3,1.0,-0.8325620675795083
2024-08-01,20,CENTRO,0.6300001,10.000001,26.0,32.01,81.0,13.299999,104.0,2024-08-01,20,1199.668639096685,987.4839956742221,7.245773835577821,13.299999,1.0,-0.7627221571561078
2024-08-01,20,NORTE,0.96522737,11.283588,23.0,19.433304,67.0,15.4,159.0,2024-08-01,20,1792.7810682317333,1452.8717463341914,8.890412889059226,15.4,1.0,-0.6989265676157468
2024-08-01,20,SURESTE,0.68999994,10.000001,26.0,24.759998,82.0,17.099998,149.0,2024-08-01,20,965.0951898817801,785.8934422897601,8.574725795248744,17.099998,1.0,-0.899701770427279
2024-08-01,21,CENTRO,0.6300001,10.200001,23.0,33.059998,83.0,10.6,99.0,2024-08-01,21,1516.9312182469064,1198.5322403445084,7.269890306646218,10.6,1.0,-0.5958221551322855
2024-08-01,21,NORTE,1.0067319,12.750725,17.0,18.951918,64.0,9.9,167.0,2024-08-01,21,2792.4681101753285,2078.3883975440867,8.871396191758734,9.9,1.0,-0.4370656627421903
2024-08-01,21,SURESTE,0.6599999,9.400001,25.0,24.949999,86.0,18.2,152.0,2024-08-01,21,873.7651162507169,718.3116957356781,8.560639957477608,18.2,1.0,-0.9425432646138244
2024-08-01,22,CENTRO,0.61,9.800001,22.0,33.309998,85.0,8.599999,105.0,2024-08-01,22,1856.0219711942664,1404.7218465633941,7.288208417454341,8.599999,1.0,-0.4174391655444184
2024-08-01,22,NORTE,1.0480919,13.891892,12.000001,18.587692,64.0,6.3,167.0,2024-08-01,22,4451.015159613386,2959.562534558135,8.95994840863726,6.3,1.0,-0.0026210686651955022
2024-08-01,22,SURESTE,0.68,10.1,20.0,25.119999,125.0,15.2,141.0,2024-08-01,22,1191.438813292777,953.3750604180544,8.579744683053878,15.200000000000001,1.0,-0.7935275537536405
2024-08-01,23,CENTRO,0.6500001,12.8,17.000002,35.72,85.0,10.3,66.0,2024-08-01,23,1564.0859317376069,1231.481373437422,7.322583198585658,10.3,1.0,-0.5710158202720238
