parameter,date,SE,SE_b,NE,NE_b,CE,CE_b,NO,NO_b,SO,SO_b,NO2,NO2_b,Norte,NTE_b,NE2,NE2_b,SE2,SE2_b,SO2,SO2_b,SE3,SE3_b,SUR,SUR_b,Norte2,NTE2_b,NE3,NE3_b
PM10 ,2020-01-06 19:00:00.000,,o,99.0, ,90.05, ,78.33, ,117.0, ,156.0, ,87.0, ,80.0, ,51.0, ,87.0, ,82.0, ,34.0, ,62.0, ,, 
PM10 ,2020-01-06 20:00:00.000,,o,126.0, ,118.44, ,84.34, ,93.0, ,148.0, ,76.0, ,86.0, ,74.0, ,64.0, ,92.0, ,38.0, ,111.0, ,, 
PM10 ,2020-01-06 21:00:00.000,39.95, ,137.0, ,115.2, ,59.13, ,84.0, ,136.0, ,83.0, ,105.0, ,158.0, ,64.0, ,257.0, ,58.0, ,94.0, ,, 
PM10 ,2020-01-06 22:00:00.000,43.09, ,92.0, ,71.76, ,31.26, ,110.0, ,125.0, ,22.0, ,90.0, ,209.0, ,71.0, ,164.0, ,38.0, ,39.0, ,, 
PM10 ,2020-01-06 23:00:00.000,32.07, ,54.0, ,53.82, ,42.45, ,168.0, ,80.0, ,16.0, ,63.0, ,165.0, ,50.0, ,99.0, ,58.0, ,36.0, ,, 
PM10 ,2020-01-07 00:00:00.000,28.64, ,47.0, ,50.42, ,34.17, ,143.0, ,73.0, ,21.0, ,47.0, ,78.0, ,25.0, ,164.0, ,39.0, ,35.0, ,, 
PM10 ,2020-01-07 01:00:00.000,25.95, ,36.0, ,38.6, ,41.16, ,61.0, ,106.0, ,14.0, ,35.0, ,42.0, ,18.0, ,85.0, ,31.0, ,33.0, ,, 
PM10 ,2020-01-07 02:00:00.000,24.71, ,39.0, ,41.54, ,48.21, ,37.0, ,82.0, ,51.0, ,35.0, ,27.0, ,22.0, ,60.0, ,25.0, ,50.0, ,, 
PM10 ,2020-01-07 03:00:00.000,22.51, ,27.0, ,39.82, ,46.59, ,41.0, ,55.0, ,58.0, ,52.0, ,26.0, ,16.0, ,45.0, ,21.0, ,64.0, ,, 
PM10 ,2020-01-07 04:00:00.000,26.31, ,36.0, ,71.53, ,32.97, ,29.0, ,44.0, ,34.0, ,28.0, ,27.0, ,24.0, ,37.0, ,28.0, ,46.0, ,, 
PM10 ,2020-01-07 05:00:00.000,26.31, ,43.0, ,55.89, ,42.85, ,51.0, ,41.0, ,31.0, ,36.0, ,32.0, ,54.0, ,51.0, ,33.0, ,50.0, ,, 
PM10 ,2020-01-07 06:00:00.000,24.18, ,18.0, ,53.16, ,31.21, ,44.0, ,63.0, ,23.0, ,29.0, ,35.0, ,43.0, ,50.0, ,38.0, ,37.0, ,, 
PM10 ,2020-01-07 07:00:00.000,20.57, ,24.0, ,64.7, ,39.5, ,39.0, ,77.0, ,26.0, ,39.0, ,35.0, ,38.0, ,46.0, ,36.0, ,62.0, ,, 
PM10 ,2020-01-07 08:00:00.000,23.48, ,36.0, ,77.39, ,57.16, ,46.0, ,93.0, ,29.0, ,38.0, ,27.0, ,47.0, ,53.0, ,36.0, ,52.0, ,, 
PM10 ,2020-01-07 09:00:00.000,26.02, ,42.0, ,68.7, ,66.26, ,73.0, ,112.0, ,24.0, ,48.0, ,25.0, ,50.0, ,53.0, ,45.0, ,46.0, ,, 
PM10 ,2020-01-07 10:00:00.000,51.05, ,36.0, ,89.66, ,57.37, ,68.0, ,71.0, ,33.0, ,38.0, ,37.0, ,55.0, ,52.0, ,41.0, ,75.0, ,, 
PM10 ,2020-01-07 11:00:00.000,59.0, ,38.0, ,72.53, ,34.41, ,64.0, ,102.0, ,38.0, ,73.0, ,41.0, ,66.0, ,56.0, ,42.0, ,80.0, ,, 
PM10 ,2020-01-07 12:00:00.000,83.23, ,30.0, ,62.15, ,35.72, ,53.0, ,100.0, ,30.0, ,51.0, ,37.0, ,54.0, ,59.0, ,47.0, ,63.0, ,, 
PM10 ,2020-01-07 13:00:00.000,80.06, ,24.0, ,46.71, ,25.44, ,51.0, ,69.0, ,28.0, ,37.0, ,38.0, ,59.0, ,40.0, ,50.0, ,46.0, ,, 
PM10 ,2020-01-07 14:00:00.000,73.25, ,29.0, ,48.65, ,32.73, ,49.0, ,48.0, ,25.0, ,32.0, ,30.0, ,51.0, ,29.0, ,38.0, ,39.0, ,, 
PM10 ,2020-01-07 15:00:00.000,42.0, ,29.0, ,66.93, ,27.87, ,45.0, ,90.0, ,42.0, ,24.0, ,35.0, ,39.0, ,36.0, ,30.0, ,29.0, ,, 
PM10 ,2020-01-07 16:00:00.000,42.0, ,27.0, ,65.52, ,29.0, ,50.0, ,125.0, ,30.0, ,29.0, ,35.0, ,45.0, ,49.0, ,42.0, ,31.0, ,, 
PM10 ,2020-01-07 17:00:00.000,52.0, ,41.0, ,61.85, ,48.88, ,53.0, ,83.0, ,26.0, ,48.0, ,36.0, ,56.0, ,46.0, ,49.0, ,39.0, ,, 
PM10 ,2020-01-07 18:00:00.000,57.0, ,67.0, ,58.7, ,43.47, ,56.0, ,61.0, ,47.0, ,65.0, ,21.0, ,52.0, ,40.0, ,39.0, ,68.0, ,, 
PM10 ,2020-01-07 19:00:00.000,44.0, ,56.0, ,47.41, ,34.1, ,41.0, ,64.0, ,38.0, ,66.0, ,26.0, ,41.0, ,39.0, ,37.0, ,65.0, ,, 
PM10 ,2020-01-07 20:00:00.000,34.0, ,49.0, ,37.97, ,32.21, ,35.0, ,52.0, ,44.0, ,76.0, ,21.0, ,30.0, ,48.0, ,29.0, ,38.0, ,, 
PM10 ,2020-01-07 21:00:00.000,29.0, ,48.0, ,36.07, ,30.5, ,32.0, ,43.0, ,41.0, ,49.0, ,39.0, ,19.0, ,57.0, ,27.0, ,39.0, ,, 
PM10 ,2020-01-07 22:00:00.000,20.0, ,45.0, ,38.61, ,30.03, ,26.0, ,40.0, ,31.0, ,54.0, ,41.0, ,24.0, ,83.0, ,31.0, ,36.0, ,, 
PM10 ,2020-01-07 23:00:00.000,29.0, ,33.0, ,37.7, ,27.89, ,26.0, ,39.0, ,25.0, ,63.0, ,52.0, ,21.0, ,177.0, ,31.0, ,49.0, ,, 
PM10 ,2020-01-08 00:00:00.000,30.0, ,33.0, ,36.42, ,27.13, ,24.0, ,46.0, ,31.0, ,61.0, ,42.0, ,25.0, ,59.0, ,35.0, ,45.0, ,, 
PM10 ,2020-01-08 01:00:00.000,37.0, ,27.0, ,34.27, ,23.79, ,35.0, ,50.0, ,45.0, ,46.0, ,26.0, ,24.0, ,57.0, ,32.0, ,42.0, ,, 
PM10 ,2020-01-08 02:00:00.000,22.0, ,33.0, ,32.78, ,18.69, ,30.0, ,48.0, ,51.0, ,49.0, ,47.0, ,28.0, ,45.0, ,26.0, ,49.0, ,, 
PM10 ,2020-01-08 03:00:00.000,36.0, ,32.0, ,37.29, ,18.04, ,83.0, ,44.0, ,41.0, ,36.0, ,41.0, ,21.0, ,38.0, ,22.0, ,44.0, ,, 
PM10 ,2020-01-08 04:00:00.000,32.0, ,27.0, ,43.27, ,14.93, ,96.0, ,36.0, ,33.0, ,46.0, ,17.0, ,19.0, ,37.0, ,21.0, ,23.0, ,, 
PM10 ,2020-01-08 05:00:00.000,28.0, ,31.0, ,45.71, ,15.59, ,91.0, ,31.0, ,31.0, ,34.0, ,36.0, ,16.0, ,42.0, ,23.0, ,25.0, ,, 
PM10 ,2020-01-08 06:00:00.000,28.0, ,35.0, ,43.08, ,21.74, ,78.0, ,31.0, ,33.0, ,45.0, ,26.0, ,29.0, ,,o,28.0, ,29.0, ,, 
PM10 ,2020-01-08 07:00:00.000,32.0, ,42.0, ,48.26, ,31.55, ,30.0, ,34.0, ,32.0, ,58.0, ,28.0, ,23.0, ,,o,28.0, ,40.0, ,, 
PM10 ,2020-01-08 08:00:00.000,46.0, ,43.0, ,82.38, ,45.25, ,57.0, ,43.0, ,38.0, ,52.0, ,3.0, ,32.0, ,,o,29.0, ,56.0, ,, 
PM10 ,2020-01-08 09:00:00.000,55.0, ,58.0, ,98.99, ,49.07, ,86.0, ,67.0, ,44.0, ,79.0, ,48.0, ,40.0, ,,o,29.0, ,67.0, ,, 
PM10 ,2020-01-08 10:00:00.000,62.0, ,74.0, ,110.52, ,63.59, ,91.0, ,86.0, ,69.0, ,60.0, ,27.0, ,57.0, ,,l,33.0, ,64.0, ,, 
PM10 ,2020-01-08 11:00:00.000,71.0, ,76.0, ,109.17, ,46.44, ,90.0, ,75.0, ,111.0, ,61.0, ,26.0, ,51.0, ,,o,74.0, ,74.0, ,, 
PM10 ,2020-01-08 12:00:00.000,80.0, ,66.0, ,120.4, ,42.03, ,38.0, ,60.0, ,72.0, ,62.0, ,36.0, ,42.0, ,,o,41.0, ,78.0, ,, 
PM10 ,2020-01-08 13:00:00.000,52.0, ,49.0, ,84.89, ,37.64, ,45.0, ,79.0, ,59.0, ,59.0, ,36.0, ,68.0, ,,o,52.0, ,61.0, ,, 
PM10 ,2020-01-08 14:00:00.000,35.0, ,50.0, ,61.56, ,35.76, ,82.0, ,101.0, ,46.0, ,55.0, ,38.0, ,80.0, ,102.0, ,38.0, ,36.0, ,, 
PM10 ,2020-01-08 15:00:00.000,37.0, ,46.0, ,52.61, ,35.77, ,79.0, ,101.0, ,43.0, ,52.0, ,36.0, ,57.0, ,44.0, ,32.0, ,42.0, ,, 
PM10 ,2020-01-08 16:00:00.000,45.0, ,52.0, ,56.07, ,36.06, ,50.0, ,71.0, ,47.0, ,59.0, ,34.0, ,49.0, ,36.0, ,34.0, ,48.0, ,, 
PM10 ,2020-01-08 17:00:00.000,48.0, ,56.0, ,62.16, ,33.69, ,47.0, ,62.0, ,45.0, ,45.0, ,36.0, ,68.0, ,47.0, ,38.0, ,48.0, ,, 
PM10 ,2020-01-08 18:00:00.000,49.0, ,52.0, ,58.44, ,36.99, ,49.0, ,53.0, ,51.0, ,60.0, ,47.0, ,46.0, ,51.0, ,37.0, ,45.0, ,, 
PM10 ,2020-01-08 19:00:00.000,44.0, ,52.0, ,63.98, ,41.85, ,56.0, ,47.0, ,48.0, ,,o,70.0, ,46.0, ,98.0, ,43.0, ,48.0, ,,o
PM10 ,2020-01-08 20:00:00.000,42.0, ,63.0, ,80.82, ,56.22, ,45.0, ,71.0, ,53.0, ,,o,72.0, ,53.0, ,106.0, ,46.0, ,54.0, ,,o
PM10 ,2020-01-08 21:00:00.000,88.0, ,75.0, ,90.85, ,80.32, ,40.0, ,74.0, ,59.0, ,,o,117.0, ,86.0, ,216.0, ,43.0, ,67.0, ,,o
PM10 ,2020-01-08 22:00:00.000,84.0, ,85.0, ,86.67, ,59.29, ,74.0, ,91.0, ,57.0, ,,o,126.0, ,61.0, ,177.0, ,34.0, ,72.0, ,,o
PM10 ,2020-01-08 23:00:00.000,71.0, ,70.0, ,84.07, ,47.28, ,120.0, ,75.0, ,81.0, ,,o,54.0, ,57.0, ,52.0, ,38.0, ,66.0, ,,o
PM10 ,2020-01-09 00:00:00.000,60.0, ,36.0, ,56.96, ,23.87, ,141.0, ,54.0, ,47.0, ,,o,46.0, ,54.0, ,29.0, ,17.0, ,45.0, ,,o
PM10 ,2020-01-09 01:00:00.000,33.0, ,15.0, ,44.29, ,33.41, ,105.0, ,39.0, ,17.0, ,,o,38.0, ,47.0, ,25.0, ,37.0, ,16.0, ,,o
PM10 ,2020-01-09 02:00:00.000,37.0, ,18.0, ,64.18, ,58.65, ,104.0, ,47.0, ,11.0, ,,o,37.0, ,44.0, ,22.0, ,39.0, ,24.0, ,,o
PM10 ,2020-01-09 03:00:00.000,44.0, ,13.0, ,113.64, ,41.5, ,163.0, ,44.0, ,22.0, ,,o,41.0, ,35.0, ,19.0, ,40.0, ,22.0, ,,o
PM10 ,2020-01-09 04:00:00.000,48.0, ,9.0, ,135.84, ,33.13, ,97.0, ,44.0, ,25.0, ,,o,27.0, ,37.0, ,27.0, ,36.0, ,31.0, ,,o
PM10 ,2020-01-09 05:00:00.000,68.0, ,19.0, ,134.27, ,40.37, ,64.0, ,47.0, ,57.0, ,,o,28.0, ,29.0, ,34.0, ,43.0, ,35.0, ,,o
PM10 ,2020-01-09 06:00:00.000,76.0, ,23.0, ,101.7, ,37.41, ,80.0, ,43.0, ,25.0, ,,o,23.0, ,35.0, ,40.0, ,41.0, ,40.0, ,,o
PM10 ,2020-01-09 07:00:00.000,84.0, ,31.0, ,94.96, ,55.7, ,107.0, ,48.0, ,23.0, ,,o,40.0, ,41.0, ,58.0, ,46.0, ,54.0, ,,o
PM10 ,2020-01-09 08:00:00.000,74.0, ,60.0, ,103.55, ,75.29, ,114.0, ,51.0, ,45.0, ,,o,100.0, ,66.0, ,96.0, ,57.0, ,75.0, ,,o
PM10 ,2020-01-09 09:00:00.000,63.0, ,86.0, ,99.33, ,98.86, ,187.0, ,54.0, ,46.0, ,,o,99.0, ,84.0, ,134.0, ,50.0, ,88.0, ,,o
PM10 ,2020-01-09 10:00:00.000,80.0, ,129.0, ,120.65, ,129.24, ,213.0, ,61.0, ,123.0, ,,o,119.0, ,137.0, ,145.0, ,71.0, ,118.0, ,,o
PM10 ,2020-01-09 11:00:00.000,173.0, ,159.0, ,156.96, ,109.49, ,209.0, ,89.0, ,164.0, ,,o,172.0, ,156.0, ,102.0, ,78.0, ,130.0, ,,o
PM10 ,2020-01-09 12:00:00.000,144.0, ,165.0, ,138.16, ,91.2, ,111.0, ,122.0, ,,x,,o,89.0, ,86.0, ,138.0, ,77.0, ,155.0, ,,o
PM10 ,2020-01-09 13:00:00.000,142.0, ,153.0, ,111.77, ,105.66, ,82.0, ,120.0, ,152.0, ,,o,61.0, ,96.0, ,78.0, ,71.0, ,158.0, ,,o
PM10 ,2020-01-09 14:00:00.000,108.0, ,133.0, ,144.81, ,94.04, ,82.0, ,95.0, ,163.0, ,143.0, ,49.0, ,76.0, ,58.0, ,83.0, ,181.0, ,, 
PM10 ,2020-01-09 15:00:00.000,90.0, ,106.0, ,116.8, ,66.49, ,54.0, ,122.0, ,152.0, ,100.0, ,51.0, ,69.0, ,62.0, ,67.0, ,107.0, ,, 
PM10 ,2020-01-09 16:00:00.000,78.0, ,106.0, ,94.64, ,85.83, ,97.0, ,129.0, ,94.0, ,83.0, ,63.0, ,113.0, ,61.0, ,46.0, ,84.0, ,, 
PM10 ,2020-01-09 17:00:00.000,93.0, ,109.0, ,122.78, ,95.68, ,97.0, ,136.0, ,94.0, ,83.0, ,62.0, ,109.0, ,58.0, ,53.0, ,103.0, ,, 
PM10 ,2020-01-09 18:00:00.000,90.0, ,111.0, ,127.41, ,105.43, ,96.0, ,118.0, ,95.0, ,95.0, ,66.0, ,88.0, ,86.0, ,57.0, ,97.0, ,, 
PM10 ,2020-01-09 19:00:00.000,73.0, ,108.0, ,133.99, ,85.35, ,105.0, ,129.0, ,106.0, ,114.0, ,102.0, ,108.0, ,157.0, ,60.0, ,84.0, ,, 
PM10 ,2020-01-09 20:00:00.000,65.0, ,121.0, ,120.92, ,67.35, ,130.0, ,176.0, ,88.0, ,139.0, ,117.0, ,127.0, ,218.0, ,85.0, ,85.0, ,, 
PM10 ,2020-01-09 21:00:00.000,84.0, ,143.0, ,105.02, ,114.0, ,140.0, ,174.0, ,165.0, ,120.0, ,109.0, ,184.0, ,163.0, ,69.0, ,101.0, ,, 
PM10 ,2020-01-09 22:00:00.000,107.0, ,128.0, ,138.44, ,114.94, ,132.0, ,165.0, ,138.0, ,96.0, ,137.0, ,161.0, ,261.0, ,45.0, ,133.0, ,, 
PM10 ,2020-01-09 23:00:00.000,101.0, ,131.0, ,120.06, ,119.79, ,160.0, ,169.0, ,90.0, ,130.0, ,144.0, ,117.0, ,211.0, ,45.0, ,105.0, ,, 
PM10 ,2020-01-10 00:00:00.000,86.0, ,140.0, ,112.31, ,139.79, ,121.0, ,128.0, ,60.0, ,135.0, ,170.0, ,94.0, ,124.0, ,39.0, ,100.0, ,, 
PM10 ,2020-01-10 01:00:00.000,72.0, ,145.0, ,113.27, ,118.52, ,111.0, ,113.0, ,42.0, ,137.0, ,164.0, ,89.0, ,66.0, ,40.0, ,134.0, ,, 
PM10 ,2020-01-10 02:00:00.000,75.0, ,109.0, ,116.57, ,105.43, ,128.0, ,99.0, ,67.0, ,71.0, ,110.0, ,103.0, ,44.0, ,61.0, ,103.0, ,, 
PM10 ,2020-01-10 03:00:00.000,76.0, ,52.0, ,109.79, ,74.73, ,95.0, ,84.0, ,71.0, ,40.0, ,33.0, ,76.0, ,36.0, ,46.0, ,105.0, ,, 
PM10 ,2020-01-10 04:00:00.000,61.0, ,39.0, ,90.36, ,55.05, ,101.0, ,60.0, ,33.0, ,37.0, ,41.0, ,78.0, ,89.0, ,59.0, ,48.0, ,, 
PM10 ,2020-01-10 05:00:00.000,53.0, ,19.0, ,86.73, ,47.49, ,90.0, ,46.0, ,37.0, ,20.0, ,43.0, ,72.0, ,44.0, ,46.0, ,46.0, ,, 
PM10 ,2020-01-10 06:00:00.000,59.0, ,25.0, ,117.46, ,49.33, ,120.0, ,49.0, ,48.0, ,49.0, ,65.0, ,67.0, ,27.0, ,55.0, ,48.0, ,, 
PM10 ,2020-01-10 07:00:00.000,69.0, ,35.0, ,109.72, ,52.69, ,138.0, ,76.0, ,53.0, ,67.0, ,52.0, ,60.0, ,62.0, ,53.0, ,77.0, ,, 
PM10 ,2020-01-10 08:00:00.000,73.0, ,56.0, ,89.59, ,66.72, ,157.0, ,94.0, ,51.0, ,37.0, ,77.0, ,64.0, ,33.0, ,63.0, ,70.0, ,, 
PM10 ,2020-01-10 09:00:00.000,88.0, ,70.0, ,93.76, ,61.35, ,208.0, ,96.0, ,48.0, ,83.0, ,49.0, ,125.0, ,39.0, ,56.0, ,76.0, ,, 
PM10 ,2020-01-10 10:00:00.000,96.0, ,58.0, ,140.13, ,79.04, ,247.0, ,70.0, ,71.0, ,91.0, ,70.0, ,196.0, ,63.0, ,74.0, ,74.0, ,, 
PM10 ,2020-01-10 11:00:00.000,118.0, ,62.0, ,265.84, ,104.04, ,271.0, ,99.0, ,113.0, ,53.0, ,78.0, ,226.0, ,72.0, ,75.0, ,97.0, ,, 
PM10 ,2020-01-10 12:00:00.000,153.0, ,88.0, ,227.97, ,113.54, ,256.0, ,140.0, ,113.0, ,45.0, ,83.0, ,227.0, ,60.0, ,78.0, ,98.0, ,, 
PM10 ,2020-01-10 13:00:00.000,185.0, ,105.0, ,242.78, ,120.6, ,196.0, ,141.0, ,104.0, ,53.0, ,91.0, ,214.0, ,84.0, ,103.0, ,100.0, ,, 
PM10 ,2020-01-10 14:00:00.000,202.0, ,136.0, ,221.75, ,138.11, ,171.0, ,160.0, ,135.0, ,84.0, ,97.0, ,200.0, ,75.0, ,110.0, ,124.0, ,, 
PM10 ,2020-01-10 15:00:00.000,200.0, ,150.0, ,213.98, ,119.33, ,177.0, ,177.0, ,146.0, ,87.0, ,85.0, ,220.0, ,91.0, ,49.0, ,160.0, ,, 
PM10 ,2020-01-10 16:00:00.000,128.0, ,136.0, ,139.61, ,97.41, ,221.0, ,196.0, ,145.0, ,91.0, ,65.0, ,208.0, ,84.0, ,47.0, ,126.0, ,, 
PM10 ,2020-01-10 17:00:00.000,115.0, ,125.0, ,117.52, ,78.38, ,189.0, ,203.0, ,130.0, ,81.0, ,53.0, ,156.0, ,77.0, ,53.0, ,93.0, ,, 
PM10 ,2020-01-10 18:00:00.000,110.0, ,118.0, ,138.29, ,146.49, ,124.0, ,190.0, ,91.0, ,74.0, ,47.0, ,124.0, ,82.0, ,54.0, ,111.0, ,, 
PM10 ,2020-01-10 19:00:00.000,108.0, ,129.0, ,136.19, ,224.48, ,133.0, ,217.0, ,133.0, ,93.0, ,106.0, ,122.0, ,67.0, ,123.0, ,100.0, ,, 
PM10 ,2020-01-10 20:00:00.000,113.0, ,157.0, ,155.67, ,335.06, ,155.0, ,211.0, ,137.0, ,164.0, ,212.0, ,173.0, ,68.0, ,134.0, ,126.0, ,, 
PM10 ,2020-01-10 21:00:00.000,107.0, ,184.0, ,149.35, ,277.17, ,127.0, ,199.0, ,107.0, ,121.0, ,155.0, ,207.0, ,80.0, ,128.0, ,149.0, ,, 
PM10 ,2020-01-10 22:00:00.000,128.0, ,221.0, ,165.33, ,123.47, ,357.0, ,198.0, ,145.0, ,88.0, ,125.0, ,533.0, ,202.0, ,113.0, ,240.0, ,, 
PM10 ,2020-01-10 23:00:00.000,211.0, ,183.0, ,229.17, ,88.62, ,225.0, ,197.0, ,96.0, ,241.0, ,150.0, ,230.0, ,89.0, ,171.0, ,150.0, ,, 
PM10 ,2020-01-11 00:00:00.000,116.0, ,100.0, ,121.5, ,124.08, ,164.0, ,114.0, ,73.0, ,95.0, ,92.0, ,196.0, ,113.0, ,132.0, ,140.0, ,, 
PM10 ,2020-01-11 01:00:00.000,79.0, ,82.0, ,103.82, ,105.58, ,135.0, ,94.0, ,58.0, ,45.0, ,85.0, ,109.0, ,91.0, ,84.0, ,89.0, ,, 
PM10 ,2020-01-11 02:00:00.000,57.0, ,67.0, ,78.34, ,77.06, ,151.0, ,134.0, ,46.0, ,53.0, ,43.0, ,90.0, ,82.0, ,79.0, ,68.0, ,, 
PM10 ,2020-01-11 03:00:00.000,44.0, ,42.0, ,69.75, ,60.28, ,114.0, ,91.0, ,88.0, ,39.0, ,48.0, ,107.0, ,68.0, ,51.0, ,57.0, ,, 
PM10 ,2020-01-11 04:00:00.000,37.0, ,40.0, ,66.07, ,42.18, ,58.0, ,49.0, ,115.0, ,65.0, ,34.0, ,82.0, ,52.0, ,50.0, ,83.0, ,, 
PM10 ,2020-01-11 05:00:00.000,42.0, ,34.0, ,69.97, ,53.44, ,49.0, ,39.0, ,51.0, ,33.0, ,32.0, ,51.0, ,47.0, ,50.0, ,67.0, ,, 
PM10 ,2020-01-11 06:00:00.000,48.0, ,24.0, ,64.2, ,53.94, ,42.0, ,34.0, ,35.0, ,29.0, ,22.0, ,49.0, ,49.0, ,49.0, ,36.0, ,, 
PM10 ,2020-01-11 07:00:00.000,42.0, ,30.0, ,59.22, ,57.7, ,41.0, ,30.0, ,56.0, ,43.0, ,31.0, ,46.0, ,27.0, ,50.0, ,35.0, ,, 
PM10 ,2020-01-11 08:00:00.000,48.0, ,29.0, ,72.83, ,61.22, ,65.0, ,29.0, ,21.0, ,27.0, ,38.0, ,41.0, ,34.0, ,37.0, ,83.0, ,, 
PM10 ,2020-01-11 09:00:00.000,54.0, ,31.0, ,68.54, ,72.56, ,82.0, ,43.0, ,28.0, ,38.0, ,29.0, ,65.0, ,36.0, ,46.0, ,97.0, ,, 
PM10 ,2020-01-11 10:00:00.000,65.0, ,45.0, ,154.97, ,104.87, ,66.0, ,50.0, ,119.0, ,52.0, ,34.0, ,111.0, ,48.0, ,46.0, ,109.0, ,, 
PM10 ,2020-01-11 11:00:00.000,67.0, ,68.0, ,88.38, ,44.09, ,125.0, ,70.0, ,196.0, ,44.0, ,41.0, ,65.0, ,64.0, ,52.0, ,63.0, ,, 
PM10 ,2020-01-11 12:00:00.000,65.0, ,61.0, ,55.73, ,30.55, ,102.0, ,52.0, ,132.0, ,52.0, ,33.0, ,65.0, ,52.0, ,60.0, ,77.0, ,, 
PM10 ,2020-01-11 13:00:00.000,70.0, ,50.0, ,50.8, ,26.52, ,73.0, ,43.0, ,46.0, ,38.0, ,37.0, ,30.0, ,46.0, ,55.0, ,33.0, ,, 
PM10 ,2020-01-11 14:00:00.000,60.0, ,50.0, ,34.85, ,27.22, ,70.0, ,50.0, ,56.0, ,31.0, ,37.0, ,28.0, ,47.0, ,42.0, ,12.0, ,, 
PM10 ,2020-01-11 15:00:00.000,57.0, ,43.0, ,49.72, ,21.93, ,48.0, ,29.0, ,26.0, ,32.0, ,32.0, ,33.0, ,39.0, ,37.0, ,12.0, ,, 
PM10 ,2020-01-11 16:00:00.000,51.0, ,37.0, ,50.17, ,35.17, ,45.0, ,22.0, ,31.0, ,18.0, ,31.0, ,29.0, ,34.0, ,44.0, ,33.0, ,, 
PM10 ,2020-01-11 17:00:00.000,50.0, ,30.0, ,58.28, ,35.05, ,46.0, ,16.0, ,25.0, ,16.0, ,32.0, ,41.0, ,32.0, ,61.0, ,24.0, ,, 
PM10 ,2020-01-11 18:00:00.000,57.0, ,44.0, ,66.39, ,49.94, ,50.0, ,64.0, ,23.0, ,35.0, ,31.0, ,42.0, ,41.0, ,56.0, ,24.0, ,, 
PM10 ,2020-01-11 19:00:00.000,63.0, ,69.0, ,78.53, ,70.71, ,55.0, ,69.0, ,41.0, ,44.0, ,25.0, ,43.0, ,40.0, ,56.0, ,47.0, ,, 
PM10 ,2020-01-11 20:00:00.000,92.0, ,66.0, ,64.04, ,67.72, ,62.0, ,91.0, ,52.0, ,55.0, ,27.0, ,41.0, ,36.0, ,45.0, ,59.0, ,, 
PM10 ,2020-01-11 21:00:00.000,42.0, ,54.0, ,42.37, ,42.38, ,59.0, ,71.0, ,46.0, ,53.0, ,77.0, ,55.0, ,44.0, ,36.0, ,39.0, ,, 
PM10 ,2020-01-11 22:00:00.000,46.0, ,53.0, ,41.74, ,35.47, ,43.0, ,49.0, ,39.0, ,51.0, ,46.0, ,32.0, ,39.0, ,41.0, ,38.0, ,, 
PM10 ,2020-01-11 23:00:00.000,36.0, ,55.0, ,48.87, ,32.23, ,45.0, ,38.0, ,38.0, ,48.0, ,54.0, ,24.0, ,50.0, ,33.0, ,35.0, ,, 
PM10 ,2020-01-12 00:00:00.000,41.0, ,53.0, ,40.04, ,27.84, ,27.0, ,30.0, ,29.0, ,32.0, ,43.0, ,21.0, ,49.0, ,32.0, ,21.0, ,, 
PM10 ,2020-01-12 01:00:00.000,34.0, ,42.0, ,30.82, ,24.9, ,40.0, ,32.0, ,24.0, ,34.0, ,43.0, ,21.0, ,46.0, ,23.0, ,40.0, ,, 
PM10 ,2020-01-12 02:00:00.000,156.0, ,32.0, ,30.01, ,23.91, ,68.0, ,40.0, ,27.0, ,31.0, ,39.0, ,18.0, ,49.0, ,30.0, ,17.0, ,, 
PM10 ,2020-01-12 03:00:00.000,34.0, ,39.0, ,34.57, ,19.69, ,78.0, ,34.0, ,20.0, ,51.0, ,31.0, ,21.0, ,35.0, ,24.0, ,20.0, ,, 
PM10 ,2020-01-12 04:00:00.000,38.0, ,36.0, ,63.44, ,25.4, ,92.0, ,34.0, ,29.0, ,26.0, ,18.0, ,20.0, ,28.0, ,19.0, ,25.0, ,, 
PM10 ,2020-01-12 05:00:00.000,38.0, ,28.0, ,55.78, ,39.41, ,61.0, ,32.0, ,26.0, ,25.0, ,22.0, ,25.0, ,43.0, ,21.0, ,24.0, ,, 
PM10 ,2020-01-12 06:00:00.000,32.0, ,31.0, ,58.04, ,36.32, ,74.0, ,29.0, ,42.0, ,22.0, ,21.0, ,20.0, ,37.0, ,21.0, ,24.0, ,, 
PM10 ,2020-01-12 07:00:00.000,29.0, ,31.0, ,80.83, ,37.36, ,69.0, ,38.0, ,44.0, ,29.0, ,43.0, ,22.0, ,39.0, ,28.0, ,29.0, ,, 
PM10 ,2020-01-12 08:00:00.000,46.0, ,39.0, ,72.38, ,53.73, ,85.0, ,50.0, ,32.0, ,55.0, ,51.0, ,24.0, ,52.0, ,24.0, ,52.0, ,, 
PM10 ,2020-01-12 09:00:00.000,45.0, ,49.0, ,73.07, ,60.42, ,62.0, ,52.0, ,36.0, ,67.0, ,49.0, ,33.0, ,73.0, ,33.0, ,66.0, ,, 
PM10 ,2020-01-12 10:00:00.000,74.0, ,50.0, ,80.98, ,75.74, ,88.0, ,55.0, ,48.0, ,72.0, ,90.0, ,38.0, ,91.0, ,47.0, ,63.0, ,, 
